c0006949 C0006949:1
c0878544 C0878544:1
c0009186 C0009186:1
c0023413 C0023413:1
c0002962 C0002962:1
c0242339 C0242339:1
c0035435 C0035435:1
c0061851 C0061851:1
c0028738 C0028738:1
c0013911 C0013911:1
c0001367 C0001367:1
c0021641 C0021641:1
c0009090 C0009090:1
c0027497 C0027497:1
c0162275 C0162275:1
c0009951 C0009951:1
c0242723 C0242723:1
c0033687 C0033687:1
c0017160 C0017160:1
c0020639 C0020639:1
c0021641 C0021641:1
c2004489 C2004489:1
c0086543 C0086543:1
c0086543 C0086543:1
c0025605 C0025605:1
c0011847 C0011847:1
c0948786 C0948786:1
c0232471 C0232471:1
c0031763 C0031763:1
c0032617 C0032617:1
c0033860 C0033860:1
c0042755 C0042755:1
c0033860 C0033860:1
c0041296 C0041296:1
c0030305 C0030305:1
c0043031 C0043031:1
c0497327 C0497327:1
c0031154 C0031154:1
c0002871 C0002871:1
c0014038 C0014038:1
c0015300 C0015300:1
c0028754 C0028754:1
c0040038 C0040038:1
c0032285 C0032285:1
c0114873 C0114873:1
c0086543 C0086543:1
c0036572 C0036572:1
c0858529 C0858529:1
c0086543 C0086543:1
c0002871 C0002871:1
c0009951 C0009951:1
c0885057 C0885057:1
c0242339 C0242339:1
c0684275 C0684275:1
c0017887 C0017887:1
c0232197 C0232197:1
c0007557 C0007557:1
c0011847 C0011847:1
c0030232 C0030232:1
c0013456 C0013456:1
c0019340 C0019340:1
c0878544 C0878544:1
c0004093 C0004093:1
c0002600 C0002600:1
c0242339 C0242339:1
c0034494 C0034494:1
c0032064 C0032064:1
c0159075 C0159075:1
c0001975 C0001975:1
c0009214 C0009214:1
c0858529 C0858529:1
c0043031 C0043031:1
c0042313 C0042313:1
c0854467 C0854467:1
c1623038 C1623038:1
c0001824 C0001824:1
c0016293 C0016293:1
c0020517 C0020517:1
c0009187 C0009187:1
c0002940 C0002940:1
c0029456 C0029456:1
c0036396 C0036396:1
c0004153 C0004153:1
c0232197 C0232197:1
c0040034 C0040034:1
c0014038 C0014038:1
c0152447 C0152447:1
c0001924 C0001924:1
c0032617 C0032617:1
c0037384 C0037384:1
c0033860 C0033860:1
c0019112 C0019112:1
c0014544 C0014544:1
c0014544 C0014544:1
c0037384 C0037384:1
c0004093 C0004093:1
c0036572 C0036572:1
c0032285 C0032285:1
c0015300 C0015300:1
c0019270 C0019270:1
c0040165 C0040165:1
c0032285 C0032285:1
c0741439 C0741439:1
