Concept 1	Concept 2	PAGERANK	lcs(s)	corpus lcs	intrinsic lcs	paths
C0311394	C0231685	0.050287				
C0035450	C0034079	0.000000				
C0409162	C0333286	0.000004				
C0011849	C0032584	0.000710				
C0020541	C0027962	0.000749				
C0018802	C0020541	0.010266				
C0085649	C0034063	0.035417				
C0022650	C0041956	0.022029				
C0004604	C0037944	0.023951				
C1956089	C0018862	0.067383				
C0003873	C0035450	0.172924				
C0009871	C1444657	0.002054				
C0020971	C0021051	0.000535				
C0026848	C0011633	0.021000				
C0360714	C0020473	0.000008				
C0004093	C0442874	0.007923				
C0013404	C0231835	0.114964				
C0034065	C0019079	0.011712				
C0029408	C0221434	0.000686				
C0231736	C0231749	0.012608				
C0332536	C0024796	0.000530				
C0458343	C0016053	0.000235				
C0457086	C0003873	0.001799				
C0038454	C0018989	0.027273				
C0006121	C1269897	0.007439				
C0011167	C0031133	0.097428				
C0011168	C0679317	0.013347				
C0429103	C0027051	0.002091				
C1510420	C0041296	0.000443				
C0027627	C0205699	0.025038				
C1956391	C0018681	0.003114				
C0003243	C0443146	0.000316				
C0034735	C0022116	0.022119				
C0011644	C0036421	0.164096				
C0032285	C0332448	0.000333				
C0020877	C0010346	0.106007				
C0030472	C1306459	0.004837				
C0003873	C1396859	0.000000				
C0027540	C1547030	0.000252				
C0011991	C0009319	0.015627				
C0013395	C0030920	0.033497				
C0009676	C0011253	0.034011				
C0018524	C0033975	0.053421				
C0038362	C0149745	0.048585				
C0034065	C0032285	0.007453				
C0003873	C0003904	0.000011				
C1533685	C1253936	0.000010				
C0042164	C0019740	0.000000				
C0042384	C0040053	0.027191				
C0243026	C0020649	0.001600				
C0042109	C0277942	0.009086				
C0017196	C0162429	0.000028				
C0013604	C0017654	0.000233				
C0009378	C0032584	0.000129				
C0010137	C1563292	0.000002				
C0003507	C0006660	0.000217				
C0024530	C0002438	0.016740				
C0442874	C0522224	0.016968				
C0036572	C0018681	0.013217				
C0333997	C0043352	0.001621				
C0036202	C0042866	0.000010				
C0023223	C0042345	0.016919				
C0080331	C0432601	0.000004				
C0030326	C0023798	0.002315				
C0003811	C0026264	0.010042				
C0019054	C1561562	0.024975				
C0013378	C0011167	0.000465				
C0013394	C0029965	0.001675				
C0030842	C0020517	0.000186				
C0023418	C0038250	0.000291				
C0376358	C0001109	0.000007				
C0224498	C0029408	0.000120				
C0037473	C0024485	0.000011				
C0033706	C0039142	0.000002				
C0026764	C0011581	0.000127				
C0011849	C0035450	0.001693				
C0220982	C0409974	0.000689				
C0040583	C0007102	0.000392				
C0037199	C0442041	0.001171				
C0267809	C0376180	0.000096				
C0018801	C0033975	0.000666				
C0034887	C0023055	0.001488				
C0162595	C0702166	0.000135				
C0233651	C1527356	0.000597				
C0005587	C0232208	0.000055				
C0026269	C0030920	0.000705				
C0035222	C0007642	0.001681				
C0037926	C0886052	0.000023				
C0158280	C0023891	0.000239				
C0241910	C0022876	0.000361				
C0917996	C0034065	0.009972				
C0149925	C0011860	0.000141				
C0018926	C0043352	0.009387				
C0010043	C0011127	0.003460				
C0013404	C0231528	0.003772				
C0024117	C0018520	0.000941				
C0029408	C0392525	0.000542				
C0262538	C0040479	0.000257				
C0034069	C0003615	0.002762				
C0007286	C0549493	0.001110				
C0041834	C0029456	0.001129				
