<<<<<<< .mine
Concept 1	Concept 2	LCH	INTRINSIC_LCH	INTRINSIC_LIN	PATH	INTRINSIC_PATH	WUPALMER	lcs(s)	corpus lcs	intrinsic lcs	paths
C0035078	C0035078	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	C0035078		C0035078	C0035078=C0035078
C0156543	C0000786	0.879034	0.963530	0.995296	0.500000	0.842205	0.994819	C0156543		C0156543	C0156543=C0156543*<-C0000786
C0018787	C0027061	0.879034	0.673787	0.899016	0.500000	0.215219	0.992701	C0018787		C0018787	C0018787=C0018787*<-C0027061
C0038454	C0021308	0.808273	0.350452	0.499138	0.333333	0.046951	0.980000	C0927232		C0927232	C0927232=C0038454->*C0927232*<-C0021308
C0011253	C0036341	0.808273	0.767579	0.950947	0.333333	0.334726	0.990000	C1854373|C0927232|C0033975		C0033975	C0033975=C0011253->*C0033975*<-C0036341|C1854373=C0011253->*C1854373*<-C0036341|C0927232=C0011253->*C0927232*<-C0036341
C1265880	C0009814	0.687307	0.348061	0.494358	0.166667	0.046425	0.800000	C0332447|C0752135		C0752135	C0752135=C1265880->C0006663->C0008519->*C0752135*<-C0009814<-C1261287|C0332447=C1265880->C0006663->C0008519->*C0332447*<-C0009814<-C0332463
C0006826	C0001418	0.879034	0.544656	0.734974	0.500000	0.117166	0.991597	C0006826		C0006826	C0006826=C0006826*<-C0001418
C0018802	C0034063	0.808273	0.654559	0.899668	0.333333	0.196588	0.981481	C0549605		C0549605	C0549605=C0018802->*C0549605*<-C0034063
C0034069	C0242379	0.808273	0.425094	0.648567	0.333333	0.066726	0.980769	C0035204|C0035242		C0035204	C0035242=C0034069->*C0035242*<-C0242379|C0035204=C0034069->*C0035204*<-C0242379
C0011991	C0344375	0.758068	0.627984	0.882928	0.250000	0.173465	0.975610	C0476288|C1457887|C0017178		C0476288	C1457887=C0011991->*C1457887*<-C0344375<-C0026821|C0017178=C0011991->*C0017178*<-C0344375<-C0687713|C0476288=C0011991->*C0476288*<-C0344375<-C0687713
C0026269	C0004238	0.808273	0.526071	0.796079	0.333333	0.107348	0.985507	C0018787		C0018787	C0018787=C0026269->*C0018787*<-C0004238
C0006118	C0151699	0.758068	0.481813	0.738301	0.250000	0.087153	0.984925	C1302710|C0006111|C0007682|C1290856|C0927232		C0006111	C0007682=C0006118->C0006111->*C0007682*<-C0151699|C0927232=C0006118->C0006111->*C0927232*<-C0151699|C0006111=C0006118->*C0006111*<-C0151699<-C0007820|C1302710=C0006118->C0006111->*C1302710*<-C0151699|C1290856=C0006118->C0006111->*C1290856*<-C0151699
C0003232	C0020517	0.758068	0.555333	0.729020	0.250000	0.123207	0.969697	C1976636|C0030660|C0549512		C0549512	C0030660=C0003232->C0021311->*C0030660*<-C0020517|C0549512=C0003232->C0021311->*C0549512*<-C0020517|C1976636=C0003232->C0427965->*C1976636*<-C0020517
C0034065	C0027051	0.808273	0.437696	0.672938	0.333333	0.070805	0.981481	C0728936|C1971641|C1971640		C1971641	C0728936=C0034065->*C0728936*<-C0027051|C1971640=C0034065->*C1971640*<-C0027051|C1971641=C0034065->*C1971641*<-C0027051
C0007286	C0029408	0.808273	0.390119	0.542809	0.333333	0.056594	0.979592	C1456595		C1456595	C1456595=C0007286->*C1456595*<-C0029408
C0003873	C0409974	0.808273	0.716776	0.930743	0.333333	0.263509	0.981481	C0009326|C0004364		C0009326	C0009326=C0003873->*C0009326*<-C0409974|C0004364=C0003873->*C0004364*<-C0409974
C0702166	C0039142	0.687307	0.256782	0.194750	0.166667	0.030205	0.761905	C0002784|C0000000		C0002784	C0002784=C0702166->C0037274->C0011900->*C0002784*<-C0039142<-C0014674|C0000000=C0702166->C1123023->C0221907->*C0000000*<-C0039142<-C0792277
C0011849	C0020538	0.808273	0.548003	0.807600	0.333333	0.119027	0.971429	C1857702|C1456594		C1857702	C1456594=C0011849->*C1456594*<-C0020538|C1857702=C0011849->*C1857702*<-C0020538
C0010137	C0086511	0.687307	0.221803	0.061578	0.166667	0.025618	0.444444	C1456590		C1456590	C1456590=C0010137->C0001617->C0014136->*C1456590*<-C0086511<-C2362504
C0206698	C0009378	0.719126	0.378028	0.564883	0.200000	0.053461	0.959184	C0011900|C0012240		C0012240	C0011900=C0206698->C0027651->*C0011900*<-C0009378<-C0086143|C0012240=C0206698->C0017185->C0549522->*C0012240*<-C0009378
C0333997	C0007107	0.719126	0.338038	0.468183	0.200000	0.044285	0.960000	C0950133|C0012634|C0679337		C0679337	C0679337=C0333997->C0020507->*C0679337*<-C0007107<-C0027651|C0012634=C0333997->C0024228->*C0012634*<-C0007107<-C0027651|C0950133=C0333997->C0152036->*C0950133*<-C0007107<-C0027651
C0003615	C0029456	0.808273	0.242527	0.154160	0.333333	0.028245	0.750000	C0497531		C0497531	C0497531=C0003615->*C0497531*<-C0029456
C0011581	C0007642	0.719126	0.251073	0.159640	0.200000	0.029404	0.600000	C0497531|C1456590		C0497531	C0497531=C0011581->*C0497531*<-C0007642<-C0037274<-C0178301|C1456590=C0011581->C1456593->*C1456590*<-C0007642<-C0021311
C0020473	C2939419	0.719126	0.352303	0.485301	0.200000	0.047362	0.960000	C0497531|C0012674|C1373233|C0950133|C0178237|C0011900|C0012634		C0012634	C0011900=C0020473->C0018939->*C0011900*<-C2939419<-C0027651|C0497531=C0020473->C0154251->*C0497531*<-C2939419<-C0027651|C0012634=C0020473->C0018939->*C0012634*<-C2939419<-C0027651|C0012674=C0020473->C0028715->*C0012674*<-C2939419<-C0027651|C1373233=C0020473->C0028715->*C1373233*<-C2939419<-C0027651|C0950133=C0020473->C1853129->*C0950133*<-C2939419<-C0027651|C0178237=C0020473->C0018939->*C0178237*<-C2939419<-C0027651
