Concept1,Concept2,INTRINSIC_LIN,LCH,Physicians,Coders
C0156543,C0000786,0.945471,0.835728,3,3.3
C0018787,C0027061,0.934799,0.671456,3.3,3
C0038454,C0021308,0.064236,0.374558,3,2.8
C0011253,C0036341,0.199894,0.358207,3,2.2
C0027627,C0001418,0.715356,0.739635,2.7,1.8
C0018802,C0034063,0.549687,0.53883,3,1.4
C0034069,C0242379,0.769957,0.671456,1.7,1.4
C0011991,C0344375,0.248856,0.53883,2.3,1.3
C0026269,C0004238,0.679276,0.53883,2.3,1.3
C0006118,C0151699,0.626341,0.671456,2,1.3
C0003232,C0020517,0.214457,0.53883,1.7,1.2
C0034065,C0027051,0.325012,0.575363,1.7,1.2
C0007286,C0029408,0.342227,0.507184,2,1.1
C0003873,C0409974,0.332303,0.53883,2,1.1
C0702166,C0039142,0.064721,0.392121,2,1
C0011849,C0020538,0.369618,0.507184,2,1
C0010137,C0086511,0.059216,0.431712,1.7,1
C0206698,C0009378,0.05775,0.358207,1.3,1
C0333997,C0007107,0.346515,0.507184,1.3,1
C0003615,C0029456,0.320379,0.47927,1,1
C0011581,C0007642,0.290345,0.575363,1,1
C0020473,C0027627,0.297789,0.47927,1,1
C0026769,C0033975,0.27696,0.575363,1,1
C0030920,C0027092,0.333597,0.4543,1,1
C0034887,C0003483,0.058684,0.392121,1,1
C0042345,C0224701,0.253555,0.374558,1,1
C0043352,C0023891,0.524434,0.47927,1,1
